Estació,Adreça,Bicicletes lliures,Aparcaments lliures,Coordenades
01- Biblioteca Antònia Adroher,"Carrer Can Sunyer, 46",11,7,"41.993628,2.809083"
02- Ramon Folch,"Avinguda  Ramon Folch, 6",5,23,"41.986726,2.821839"
03- Plaça de Catalunya,Plaça de Catalunya,7,44,"41.982116,2.823101"
04- RENFE - Estació d\'Autobusos,Plaça Espanya,6,40,"41.979406,2.817418"
05- Pont del Dimoni,Riu Guell amb Passeig d\'Olot,9,11,"41.976338,2.809810"
06- Emili Grahit,"Carrer Emili Grahit, 6",7,17,"41.974760,2.820136"
07- Plaça Pere Calders,Plaça Pere Calders,12,9,"41.973303,2.807035"
08- Biblioteca Ernest Lluch,"Carrer Saragossa, 27",10,16,"41.970731,2.819105"
09- Miquel de Palol,"Plaça Miquel de Palol, 72",8,22,"41.982607,2.814683"
10-Lluis Pericot,"Avinguda Lluis Pericot, 21",9,17,"41.972119,2.824372"
11-Marquès de Camps,Plaça Marquès de Camps,6,14,"41.982365,2.819317"
12-Fontajau,"Rambla Xavier Cugat, 1",9,16,"41.992214,2.817798"
13-Can Ninetes,"Carrer Santa Eugenia, 138",10,15,"41.977852,2.807704"
14-Plaça del Barco,"Carrer Agudes, 7",12,13,"41.976641,2.802587"
15-Plaça Europa,"Plaça Europa, 4",6,20,"41.9759045,2.81441"
16-Ramon Berenguer,"Passeig Ramon Berenguer, 5",4,20,"41.970754,2.810216"
17-Vista Alegre,"Carrer Josep Morato Grau, 2",8,17,"41.977541,2.825713"
18-Riu Freser/St. Isidre,"Carrer Riu Freser, 8",7,16,"41.969431,2.815501"
19- Eixample,"Carrer Joan Maragall, 33",5,21,"41.977716,2.820039"
20- Sant Ponç,"Avinguda França, 38",12,14,"41.994742,2.819304"
21- Pont Major,Passeig Sant Joan Bosco,10,16,"42.007301,2.824850"
